iso3,country,year,exports_pct_gdp,gdp_usd
USA,United States,2022,11.6540970440015,26054614000000
USA,United States,2023,11.0506737190927,27811517000000
VNM,Viet Nam,2015,72.9228518369495,239258328381.741
VNM,Viet Nam,2016,74.1072862556183,257096001177.982
VNM,Viet Nam,2017,81.7625218355655,281353605986.903
VNM,Viet Nam,2018,84.4234560833365,310106478394.659
VNM,Viet Nam,2019,85.1575874073411,334365270496.667
VNM,Viet Nam,2020,84.381598008957,346615738537.796
VNM,Viet Nam,2021,93.8502071275575,366474752771.009
VNM,Viet Nam,2022,93.420129043511,413445230668.578
VNM,Viet Nam,2023,86.7366640875238,433805036898.465
ZAF,South Africa,2015,27.7136384124829,346709790458.563
ZAF,South Africa,2016,28.1560881698955,323585509674.481
ZAF,South Africa,2017,27.3400757812216,381448814653.456
ZAF,South Africa,2018,27.4970371508423,405260723892.517
ZAF,South Africa,2019,27.2021294051151,389330032224.269
ZAF,South Africa,2020,27.5759141603963,337974655408.055
ZAF,South Africa,2021,31.1916105051608,419986284375.368
ZAF,South Africa,2022,33.5394403164272,407596043067.885
ZAF,South Africa,2023,33.2538127556816,381440724491.232
